Cenario,Amostras,Média (ms),Desvio Padrão,Mín,Mediana,Máx
1. Baseline (Kafka Direto),127901.0,29.19930993665749,11.856374683049602,0.0,29.6051502227783,99.2331504821777
2. Batching Agressivo,141062.0,269.29568481442607,137.4488359738049,7.3781013488769,271.88932895660395,554.9900531768799
3. IoT (MQTT) - Baixa Carga,5060.0,54.16061633189201,11.234034515741069,7.383108139038,54.73721027374265,105.6346893310546
4. IoT (MQTT) - Alta Carga,146397.0,42.96783741301684,15.88668627256526,3.6664009094238,42.5448417663574,99.6501445770263
