timestamp_leitura,vehicle_id,latencia_segundos
1768875516.4393284,EV-002,0.07102632522583008
1768875516.4398403,EV-011,0.018361568450927734
1768875516.5296924,EV-018,0.05714273452758789
1768875516.5895312,EV-004,0.06566834449768066
1768875516.6327958,EV-006,0.05755209922790527
1768875516.6833582,EV-005,0.05667257308959961
1768875516.7252398,EV-009,0.04754972457885742
1768875516.7915282,EV-007,0.060101985931396484
1768875516.8380456,EV-018,0.05546689033508301
1768875516.8846285,EV-006,0.05111336708068848
1768875516.934937,EV-016,0.05082201957702637
1768875517.0000305,EV-002,0.0650935173034668
1768875517.0420127,EV-002,0.05624222755432129
1768875517.090717,EV-018,0.053963422775268555
1768875517.1435766,EV-009,0.05586576461791992
1768875517.1985476,EV-007,0.06014704704284668
1768875517.2444298,EV-004,0.054257869720458984
1768875517.302611,EV-018,0.06174015998840332
1768875517.3510437,EV-003,0.05890846252441406
1768875517.4036758,EV-008,0.057569265365600586
1768875517.447611,EV-003,0.04922342300415039
1768875517.5122092,EV-014,0.06301188468933105
1768875517.5547845,EV-007,0.0547327995300293
1768875517.6051748,EV-010,0.05435442924499512
1768875517.6610773,EV-002,0.059179067611694336
1768875517.7111714,EV-017,0.05873608589172363
1768875517.7541685,EV-002,0.050943851470947266
1768875517.80647,EV-013,0.05230140686035156
1768875517.8702738,EV-004,0.06521224975585938
1768875517.9191685,EV-014,0.06333017349243164
1768875517.963911,EV-001,0.05707216262817383
1768875518.0106015,EV-005,0.05279183387756348
1768875518.0593696,EV-011,0.050780296325683594
1768875518.1593726,EV-004,0.10000300407409668
1768875518.1603985,EV-013,0.04937911033630371
1768875518.212568,EV-008,0.05061483383178711
1768875518.2709432,EV-007,0.05837512016296387
1768875518.3140109,EV-013,0.05090737342834473
1768875518.3731413,EV-001,0.05913043022155762
1768875518.4165325,EV-015,0.05166053771972656
1768875518.479063,EV-013,0.06305885314941406
1768875518.521224,EV-013,0.05357956886291504
1768875518.578411,EV-002,0.059264421463012695
1768875518.6245115,EV-018,0.05156874656677246
1768875518.6831174,EV-014,0.05911660194396973
1768875518.7264402,EV-009,0.05139279365539551
1768875518.7716374,EV-018,0.04571986198425293
1768875518.8404214,EV-020,0.06370282173156738
1768875518.887477,EV-004,0.06034445762634277
1768875518.9312093,EV-011,0.05315446853637695
1768875518.9790235,EV-011,0.04987692832946777
1768875519.0435808,EV-011,0.06354379653930664
1768875519.0883715,EV-002,0.056934356689453125
1768875519.135418,EV-020,0.052765846252441406
1768875519.1867542,EV-020,0.05301213264465332
1768875519.247327,EV-018,0.062209367752075195
1768875519.2925348,EV-007,0.056077003479003906
1768875519.3559113,EV-019,0.06854510307312012
1768875519.3997543,EV-011,0.055529117584228516
1768875519.447343,EV-003,0.05096101760864258
1768875519.5069697,EV-013,0.05962657928466797
1768875519.5555253,EV-016,0.0564730167388916
1768875519.6056006,EV-009,0.05509519577026367
1768875519.664267,EV-005,0.0628366470336914
1768875519.7038774,EV-008,0.05127263069152832
1768875519.7546341,EV-006,0.05075669288635254
1768875519.8057141,EV-005,0.05107998847961426
1768875519.8556697,EV-009,0.050594329833984375
1768875519.91899,EV-017,0.06332015991210938
1768875519.961254,EV-014,0.05485057830810547
1768875520.049839,EV-014,0.09247279167175293
1768875520.1027136,EV-019,0.05882096290588379
1768875520.1511095,EV-013,0.054251670837402344
1768875520.1983788,EV-002,0.05067801475524902
1768875520.262503,EV-012,0.06412410736083984
1768875520.308028,EV-020,0.05842113494873047
1768875520.352846,EV-018,0.052475690841674805
1768875520.405764,EV-012,0.054694414138793945
1768875520.461029,EV-005,0.05778217315673828
1768875520.5089893,EV-020,0.05344724655151367
1768875520.561107,EV-017,0.05443549156188965
1768875520.6247747,EV-010,0.06633996963500977
1768875520.6653368,EV-004,0.05579090118408203
1768875520.7032053,EV-015,0.042578935623168945
1768875520.7624466,EV-007,0.05107927322387695
1768875520.8273234,EV-009,0.06487679481506348
1768875520.8724096,EV-001,0.05678725242614746
1768875520.9198732,EV-009,0.05344033241271973
1768875520.9756787,EV-016,0.0588228702545166
1768875521.023253,EV-008,0.05590224266052246
1768875521.0694017,EV-017,0.05073189735412598
1768875521.1234446,EV-012,0.054042816162109375
1768875521.1835053,EV-016,0.0631704330444336
1768875521.2275035,EV-002,0.05627322196960449
1768875521.2803106,EV-002,0.05829954147338867
1768875521.282431,EV-009,0.009321212768554688
1768875521.3817413,EV-009,0.057869911193847656
1768875521.4263542,EV-017,0.05134940147399902
1768875521.4811072,EV-002,0.05475306510925293
1768875521.53823,EV-001,0.060532331466674805
1768875521.5805871,EV-016,0.05095195770263672
1768875521.6319773,EV-015,0.05139017105102539
1768875521.6825001,EV-004,0.050522804260253906
1768875521.7469916,EV-002,0.06298589706420898
1768875521.79112,EV-005,0.05530118942260742
1768875521.8386774,EV-005,0.05158281326293945
1768875521.9230273,EV-012,0.0843498706817627
1768875521.92639,EV-004,0.03686189651489258
1768875522.0024974,EV-012,0.06224536895751953
1768875522.0472188,EV-006,0.056439876556396484
1768875522.1073513,EV-007,0.06580615043640137
1768875522.149601,EV-002,0.057091712951660156
1768875522.1945872,EV-007,0.05135655403137207
1768875522.245275,EV-001,0.051355600357055664
1768875522.3014865,EV-002,0.05621147155761719
1768875522.351841,EV-013,0.05579113960266113
1768875522.4032211,EV-002,0.05557537078857422
1768875522.463987,EV-019,0.060765981674194336
1768875522.5077446,EV-002,0.052849769592285156
1768875522.5609536,EV-020,0.05439114570617676
1768875522.6196096,EV-015,0.06100726127624512
1768875522.6683958,EV-020,0.05895853042602539
1768875522.7152348,EV-014,0.05491352081298828
1768875522.7628372,EV-001,0.05114269256591797
1768875522.8213818,EV-019,0.05854463577270508
1768875522.8709185,EV-005,0.051120758056640625
1768875522.9277313,EV-017,0.05681276321411133
1768875522.9759703,EV-015,0.05416536331176758
1768875523.0310638,EV-008,0.05761575698852539
1768875523.0718002,EV-014,0.046364545822143555
1768875523.1432233,EV-017,0.06712555885314941
1768875523.1442375,EV-005,0.01736927032470703
1768875523.2314422,EV-007,0.0539247989654541
1768875523.2955651,EV-017,0.06748199462890625
1768875523.339509,EV-002,0.060555458068847656
1768875523.3840432,EV-001,0.054375410079956055
1768875523.431485,EV-006,0.0509946346282959
1768875523.4908743,EV-001,0.059389352798461914
1768875523.5401883,EV-011,0.05764651298522949
1768875523.584883,EV-007,0.05127406120300293
1768875523.6270373,EV-019,0.04215431213378906
1768875523.6980207,EV-010,0.06192183494567871
1768875523.7430272,EV-012,0.05528116226196289
1768875523.831314,EV-008,0.09300947189331055
1768875523.8338656,EV-011,0.044748544692993164
1768875523.8969524,EV-008,0.056871652603149414
1768875523.9419215,EV-004,0.05115389823913574
1768875523.998785,EV-019,0.05718803405761719
1768875524.0472872,EV-015,0.054276466369628906
1768875524.1070967,EV-008,0.06299996376037598
1768875524.150793,EV-016,0.05559825897216797
1768875524.1990285,EV-019,0.05336904525756836
1768875524.2559516,EV-003,0.05959820747375488
1768875524.298269,EV-007,0.05086016654968262
1768875524.3565319,EV-014,0.05826282501220703
1768875524.3971398,EV-012,0.04758000373840332
1768875524.460796,EV-013,0.06046485900878906
1768875524.5121827,EV-017,0.06017136573791504
1768875524.5567245,EV-009,0.05380535125732422
1768875524.6066995,EV-017,0.05197548866271973
1768875524.6648643,EV-015,0.05952048301696777
1768875524.7102294,EV-013,0.054276466369628906
1768875524.7622032,EV-005,0.05548858642578125
1768875524.810709,EV-009,0.053188323974609375
1768875524.8696592,EV-010,0.06123471260070801
1768875524.914895,EV-012,0.055496931076049805
1768875524.960409,EV-017,0.05060124397277832
1768875525.0100021,EV-001,0.049593210220336914
1768875525.0818672,EV-009,0.07034754753112793
1768875525.0836358,EV-014,0.018262386322021484
1768875525.1694953,EV-019,0.05288410186767578
1768875525.231944,EV-015,0.06412768363952637
1768875525.2783484,EV-002,0.05769157409667969
1768875525.3317063,EV-004,0.05692172050476074
1768875525.3826969,EV-009,0.05099058151245117
1768875525.4513469,EV-013,0.0686500072479248
1768875525.487402,EV-007,0.0535883903503418
1768875525.5402741,EV-006,0.054958343505859375
1768875525.5875297,EV-018,0.0508725643157959
1768875525.645256,EV-001,0.057726383209228516
1768875525.6947057,EV-018,0.05615091323852539
1768875525.7401924,EV-015,0.05049490928649902
1768875525.7817087,EV-001,0.04151630401611328
1768875525.8551674,EV-010,0.06412005424499512
1768875525.8985295,EV-012,0.056995391845703125
1768875525.9432251,EV-001,0.05122971534729004
1768875525.9950817,EV-010,0.0522153377532959
1768875526.0457985,EV-017,0.052227020263671875
1768875526.109119,EV-019,0.06483244895935059
1768875526.154237,EV-017,0.05922842025756836
1768875526.1986377,EV-020,0.05293560028076172
1768875526.2513494,EV-011,0.054837703704833984
1768875526.2997088,EV-020,0.05212998390197754
1768875526.351956,EV-019,0.05336451530456543
1768875526.4015198,EV-018,0.05092191696166992
1768875526.467186,EV-007,0.06566619873046875
1768875526.5039659,EV-020,0.05156254768371582
1768875526.5566044,EV-010,0.05263853073120117
1768875526.6084158,EV-015,0.05335712432861328
1768875526.6629767,EV-014,0.05698084831237793
1768875526.7108488,EV-003,0.05292344093322754
1768875526.7624567,EV-004,0.05384945869445801
1768875526.8268461,EV-016,0.06740760803222656
1768875526.8274922,EV-015,0.016833066940307617
1768875526.910479,EV-003,0.04880976676940918
1768875526.963056,EV-014,0.05056452751159668
1768875527.0189176,EV-011,0.055861473083496094
1768875527.0738585,EV-003,0.06005549430847168
1768875527.075363,EV-016,0.010744333267211914
1768875527.166233,EV-018,0.05109000205993652
1768875527.2228773,EV-019,0.05700850486755371
1768875527.2831478,EV-017,0.06554388999938965
1768875527.3295894,EV-005,0.05920982360839844
1768875527.3801506,EV-013,0.053046464920043945
1768875527.4293964,EV-015,0.05126333236694336
1768875527.4803922,EV-009,0.050995826721191406
1768875527.5444052,EV-004,0.06401300430297852
1768875527.584934,EV-007,0.05160212516784668
1768875527.6438413,EV-007,0.058907270431518555
1768875527.697811,EV-017,0.06135416030883789
1768875527.7426429,EV-020,0.05484271049499512
1768875527.7989426,EV-016,0.05935239791870117
1768875527.841259,EV-010,0.050769805908203125
1768875527.9026933,EV-010,0.061434268951416016
1768875527.9033875,EV-003,0.011183738708496094
1768875527.9937313,EV-003,0.050835371017456055
1768875528.0542352,EV-002,0.06050395965576172
1768875528.0992224,EV-004,0.05218362808227539
1768875528.1594622,EV-003,0.06190919876098633
1768875528.160748,EV-016,0.012293815612792969
1768875528.2513652,EV-004,0.05202627182006836
1768875528.303208,EV-015,0.05285358428955078
1768875528.3673985,EV-002,0.06578993797302246
1768875528.4110894,EV-015,0.05819225311279297
1768875528.4557395,EV-014,0.052097320556640625
1768875528.511691,EV-009,0.05715322494506836
1768875528.571594,EV-007,0.06603288650512695
1768875528.5723798,EV-018,0.015802860260009766
1768875528.6625273,EV-002,0.05468106269836426
1768875528.7147956,EV-012,0.05624556541442871
1768875528.7749457,EV-003,0.06555747985839844
1768875528.7757595,EV-017,0.014966964721679688
1768875528.8750937,EV-008,0.06376218795776367
1768875528.8756013,EV-013,0.013382434844970703
1768875528.9749565,EV-003,0.061739206314086914
1768875529.0159957,EV-013,0.05110287666320801
1768875529.0705426,EV-008,0.05454683303833008
1768875529.167457,EV-016,0.10041308403015137
1768875529.168972,EV-010,0.05105781555175781
1768875529.2795906,EV-006,0.0629584789276123
1768875529.318367,EV-015,0.05098557472229004
1768875529.3729093,EV-008,0.05454230308532715
1768875529.435432,EV-004,0.06618046760559082
1768875529.4809513,EV-001,0.06064772605895996
1768875529.5233707,EV-020,0.051297664642333984
1768875529.5755854,EV-001,0.052214622497558594
1768875529.633547,EV-001,0.05796170234680176
1768875529.682028,EV-005,0.054315805435180664
1768875529.730971,EV-011,0.05200028419494629
1768875529.7908328,EV-013,0.06087470054626465
1768875529.8326056,EV-008,0.051284074783325195
1768875529.8871894,EV-013,0.05509543418884277
1768875529.9266286,EV-014,0.04402446746826172
1768875529.9902325,EV-016,0.05658125877380371
1768875530.0379171,EV-001,0.05262327194213867
1768875530.0911047,EV-013,0.05527162551879883
1768875530.1390877,EV-014,0.05167102813720703
